Tr126 = Tr{Luzula_multiflora, Juncus_kraussii, Juncus_vaginatus : S2}
Tr127 = Tr{Luzula_multiflora, Juncus_kraussii, Oxychloe_andina : S2}
Tr128 = Tr{Luzula_multiflora, Juncus_kraussii, Scirpus_polystachyus : S2}
Tr129 = Tr{Luzula_multiflora, Carex_monostachya, Juncus_kraussii : S1}
Tr130 = Tr{Luzula_multiflora, Cyperus_involucratus, Juncus_kraussii : S1}
Tr131 = Tr{Luzula_multiflora, Isolepis_nodosa, Juncus_kraussii : S1}
Tr132 = Tr{Luzula_multiflora, Juncus_kraussii, Rhynchospora_nervosa : S2}
Tr133 = Tr{Luzula_multiflora, Juncus_kraussii, Becquerelia_cymosa : S2}
Tr134 = Tr{Luzula_multiflora, Juncus_kraussii, Hypolytrum_nemorum : S2}
Tr135 = Tr{Luzula_multiflora, Juncus_kraussii, Prionium_serratum : S2}
Tr136 = Tr{Luzula_multiflora, Distichia_acicularis, Marsippospermum_grandiflorum : S1}
Tr137 = Tr{Luzula_multiflora, Distichia_acicularis, Juncus_trifidus : S2}
Tr138 = Tr{Luzula_multiflora, Juncus_effusus, Distichia_acicularis : S1}
Tr139 = Tr{Luzula_multiflora, Distichia_acicularis, Juncus_vaginatus : S2}
Tr140 = Tr{Luzula_multiflora, Distichia_acicularis, Oxychloe_andina : S2}
Tr141 = Tr{Luzula_multiflora, Distichia_acicularis, Scirpus_polystachyus : S2}
Tr142 = Tr{Luzula_multiflora, Distichia_acicularis, Carex_monostachya : S2}
Tr143 = Tr{Luzula_multiflora, Cyperus_involucratus, Distichia_acicularis : S1}
Tr144 = Tr{Luzula_multiflora, Isolepis_nodosa, Distichia_acicularis : S1}
Tr145 = Tr{Luzula_multiflora, Distichia_acicularis, Becquerelia_cymosa : S2}
Tr146 = Tr{Luzula_multiflora, Distichia_acicularis, Coleochloa_abyssinica : S2}
Tr147 = Tr{Luzula_multiflora, Distichia_acicularis, Hypolytrum_nemorum : S2}
Tr148 = Tr{Luzula_multiflora, Distichia_acicularis, Prionium_serratum : S2}
Tr149 = Tr{Luzula_multiflora, Rostkovia_magellanica, Juncus_trifidus : S2}
Tr150 = Tr{Luzula_multiflora, Juncus_effusus, Rostkovia_magellanica : S1}
Tr151 = Tr{Luzula_multiflora, Rostkovia_magellanica, Juncus_vaginatus : S2}
Tr152 = Tr{Luzula_multiflora, Rostkovia_magellanica, Oxychloe_andina : S2}
Tr153 = Tr{Luzula_multiflora, Rostkovia_magellanica, Scirpus_polystachyus : S2}
Tr154 = Tr{Luzula_multiflora, Carex_monostachya, Rostkovia_magellanica : S1}
Tr155 = Tr{Luzula_multiflora, Cyperus_involucratus, Rostkovia_magellanica : S1}
Tr156 = Tr{Luzula_multiflora, Cyperus_papyrus, Rostkovia_magellanica : S1}
Tr157 = Tr{Luzula_multiflora, Isolepis_nodosa, Rostkovia_magellanica : S1}
Tr158 = Tr{Luzula_multiflora, Rostkovia_magellanica, Rhynchospora_nervosa : S2}
Tr159 = Tr{Luzula_multiflora, Rostkovia_magellanica, Becquerelia_cymosa : S2}
Tr160 = Tr{Luzula_multiflora, Rostkovia_magellanica, Coleochloa_abyssinica : S2}
Tr161 = Tr{Luzula_multiflora, Rostkovia_magellanica, Hypolytrum_nemorum : S2}
Tr162 = Tr{Luzula_multiflora, Rostkovia_magellanica, Prionium_serratum : S2}
Tr163 = Tr{Luzula_multiflora, Juncus_trifidus, Marsippospermum_grandiflorum : S1}
Tr164 = Tr{Luzula_multiflora, Juncus_effusus, Marsippospermum_grandiflorum : S1}
Tr165 = Tr{Luzula_multiflora, Juncus_vaginatus, Marsippospermum_grandiflorum : S1}
Tr166 = Tr{Luzula_multiflora, Marsippospermum_grandiflorum, Oxychloe_andina : S2}
Tr167 = Tr{Luzula_multiflora, Scirpus_polystachyus, Marsippospermum_grandiflorum : S1}
Tr168 = Tr{Luzula_multiflora, Carex_monostachya, Marsippospermum_grandiflorum : S1}
Tr169 = Tr{Luzula_multiflora, Cyperus_involucratus, Marsippospermum_grandiflorum : S1}
Tr170 = Tr{Luzula_multiflora, Cyperus_papyrus, Marsippospermum_grandiflorum : S1}
Tr171 = Tr{Luzula_multiflora, Isolepis_nodosa, Marsippospermum_grandiflorum : S1}
Tr172 = Tr{Luzula_multiflora, Rhynchospora_nervosa, Marsippospermum_grandiflorum : S1}
Tr173 = Tr{Luzula_multiflora, Marsippospermum_grandiflorum, Becquerelia_cymosa : S2}
Tr174 = Tr{Luzula_multiflora, Coleochloa_abyssinica, Marsippospermum_grandiflorum : S1}
Tr175 = Tr{Luzula_multiflora, Marsippospermum_grandiflorum, Hypolytrum_nemorum : S2}
Tr176 = Tr{Luzula_multiflora, Marsippospermum_grandiflorum, Prionium_serratum : S2}
Tr177 = Tr{Luzula_multiflora, Juncus_effusus, Juncus_trifidus : S1}
Tr178 = Tr{Luzula_multiflora, Juncus_vaginatus, Juncus_trifidus : S1}
Tr179 = Tr{Luzula_multiflora, Juncus_trifidus, Oxychloe_andina : S2}
Tr180 = Tr{Luzula_multiflora, Juncus_trifidus, Scirpus_polystachyus : S2}
Tr181 = Tr{Luzula_multiflora, Carex_monostachya, Juncus_trifidus : S1}
Tr182 = Tr{Luzula_multiflora, Cyperus_involucratus, Juncus_trifidus : S1}
Tr183 = Tr{Luzula_multiflora, Cyperus_papyrus, Juncus_trifidus : S1}
Tr184 = Tr{Luzula_multiflora, Isolepis_nodosa, Juncus_trifidus : S1}
Tr185 = Tr{Luzula_multiflora, Juncus_trifidus, Becquerelia_cymosa : S2}
Tr186 = Tr{Luzula_multiflora, Juncus_trifidus, Hypolytrum_nemorum : S2}
Tr187 = Tr{Luzula_multiflora, Juncus_effusus, Oxychloe_andina : S2}
Tr188 = Tr{Juncus_effusus, Luzula_multiflora, Scirpus_polystachyus : S2}
Tr189 = Tr{Cyperus_papyrus, Luzula_multiflora, Juncus_effusus : S2}
Tr190 = Tr{Luzula_multiflora, Juncus_effusus, Hypolytrum_nemorum : S2}
Tr191 = Tr{Luzula_multiflora, Juncus_effusus, Prionium_serratum : S2}
Tr192 = Tr{Juncus_vaginatus, Luzula_multiflora, Oxychloe_andina : S2}
Tr193 = Tr{Juncus_vaginatus, Luzula_multiflora, Scirpus_polystachyus : S2}
Tr194 = Tr{Cyperus_papyrus, Luzula_multiflora, Juncus_vaginatus : S2}
Tr195 = Tr{Isolepis_nodosa, Luzula_multiflora, Juncus_vaginatus : S2}
Tr196 = Tr{Juncus_vaginatus, Luzula_multiflora, Becquerelia_cymosa : S2}
Tr197 = Tr{Luzula_multiflora, Juncus_vaginatus, Prionium_serratum : S2}
Tr198 = Tr{Luzula_multiflora, Scirpus_polystachyus, Oxychloe_andina : S1}
Tr199 = Tr{Luzula_multiflora, Carex_monostachya, Oxychloe_andina : S1}
Tr200 = Tr{Luzula_multiflora, Cyperus_involucratus, Oxychloe_andina : S1}
Tr201 = Tr{Luzula_multiflora, Cyperus_papyrus, Oxychloe_andina : S1}
Tr202 = Tr{Luzula_multiflora, Isolepis_nodosa, Oxychloe_andina : S1}
Tr203 = Tr{Luzula_multiflora, Rhynchospora_nervosa, Oxychloe_andina : S1}
Tr204 = Tr{Luzula_multiflora, Becquerelia_cymosa, Oxychloe_andina : S1}
Tr205 = Tr{Luzula_multiflora, Coleochloa_abyssinica, Oxychloe_andina : S1}
Tr206 = Tr{Luzula_multiflora, Hypolytrum_nemorum, Oxychloe_andina : S1}
Tr207 = Tr{Luzula_multiflora, Prionium_serratum, Oxychloe_andina : S1}
Tr208 = Tr{Luzula_multiflora, Cyperus_involucratus, Scirpus_polystachyus : S1}
Tr209 = Tr{Luzula_multiflora, Cyperus_papyrus, Scirpus_polystachyus : S1}
Tr210 = Tr{Luzula_multiflora, Isolepis_nodosa, Scirpus_polystachyus : S1}
Tr211 = Tr{Luzula_multiflora, Rhynchospora_nervosa, Scirpus_polystachyus : S1}
Tr212 = Tr{Luzula_multiflora, Scirpus_polystachyus, Becquerelia_cymosa : S2}
Tr213 = Tr{Luzula_multiflora, Coleochloa_abyssinica, Scirpus_polystachyus : S1}
Tr214 = Tr{Luzula_multiflora, Scirpus_polystachyus, Prionium_serratum : S2}
Tr215 = Tr{Luzula_multiflora, Cyperus_involucratus, Carex_monostachya : S1}
Tr216 = Tr{Luzula_multiflora, Carex_monostachya, Rhynchospora_nervosa : S2}
Tr217 = Tr{Luzula_multiflora, Carex_monostachya, Becquerelia_cymosa : S2}
Tr218 = Tr{Carex_monostachya, Luzula_multiflora, Prionium_serratum : S2}
Tr219 = Tr{Luzula_multiflora, Cyperus_involucratus, Becquerelia_cymosa : S1}
Tr220 = Tr{Luzula_multiflora, Cyperus_involucratus, Coleochloa_abyssinica : S1}
Tr221 = Tr{Luzula_multiflora, Cyperus_involucratus, Hypolytrum_nemorum : S1}
Tr222 = Tr{Cyperus_involucratus, Luzula_multiflora, Prionium_serratum : S2}
Tr223 = Tr{Luzula_multiflora, Cyperus_papyrus, Coleochloa_abyssinica : S1}
Tr224 = Tr{Luzula_multiflora, Cyperus_papyrus, Hypolytrum_nemorum : S1}
Tr225 = Tr{Cyperus_papyrus, Luzula_multiflora, Prionium_serratum : S2}
Tr226 = Tr{Luzula_multiflora, Isolepis_nodosa, Coleochloa_abyssinica : S1}
Tr227 = Tr{Luzula_multiflora, Isolepis_nodosa, Hypolytrum_nemorum : S1}
Tr228 = Tr{Isolepis_nodosa, Luzula_multiflora, Prionium_serratum : S2}
Tr229 = Tr{Luzula_multiflora, Rhynchospora_nervosa, Becquerelia_cymosa : S1}
Tr230 = Tr{Luzula_multiflora, Rhynchospora_nervosa, Coleochloa_abyssinica : S1}
Tr231 = Tr{Luzula_multiflora, Rhynchospora_nervosa, Hypolytrum_nemorum : S1}
Tr232 = Tr{Rhynchospora_nervosa, Luzula_multiflora, Prionium_serratum : S2}
Tr233 = Tr{Luzula_multiflora, Coleochloa_abyssinica, Becquerelia_cymosa : S2}
Tr234 = Tr{Luzula_multiflora, Becquerelia_cymosa, Hypolytrum_nemorum : S1}
Tr235 = Tr{Becquerelia_cymosa, Luzula_multiflora, Prionium_serratum : S2}
Tr236 = Tr{Coleochloa_abyssinica, Luzula_multiflora, Prionium_serratum : S2}
Tr237 = Tr{Prionium_serratum, Luzula_multiflora, Hypolytrum_nemorum : S2}
Tr238 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Juncus_kraussii : S1}
Tr239 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Juncus_kraussii : S1}
Tr240 = Tr{Luzula_purpureosplendens, Juncus_kraussii, Marsippospermum_grandiflorum : S2}
Tr241 = Tr{Luzula_purpureosplendens, Juncus_kraussii, Juncus_trifidus : S2}
Tr242 = Tr{Luzula_purpureosplendens, Juncus_effusus, Juncus_kraussii : S1}
Tr243 = Tr{Luzula_purpureosplendens, Juncus_kraussii, Juncus_vaginatus : S2}
Tr244 = Tr{Luzula_purpureosplendens, Juncus_kraussii, Oxychloe_andina : S2}
Tr245 = Tr{Luzula_purpureosplendens, Juncus_kraussii, Scirpus_polystachyus : S2}
Tr246 = Tr{Luzula_purpureosplendens, Carex_monostachya, Juncus_kraussii : S1}
Tr247 = Tr{Luzula_purpureosplendens, Cyperus_involucratus, Juncus_kraussii : S1}
Tr248 = Tr{Luzula_purpureosplendens, Isolepis_nodosa, Juncus_kraussii : S1}
Tr249 = Tr{Luzula_purpureosplendens, Juncus_kraussii, Rhynchospora_nervosa : S2}
Tr250 = Tr{Luzula_purpureosplendens, Juncus_kraussii, Becquerelia_cymosa : S2}
Tr251 = Tr{Luzula_purpureosplendens, Juncus_kraussii, Hypolytrum_nemorum : S2}
Tr252 = Tr{Luzula_purpureosplendens, Juncus_kraussii, Prionium_serratum : S2}
Tr253 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Marsippospermum_grandiflorum : S1}
Tr254 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Juncus_trifidus : S2}
Tr255 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Juncus_vaginatus : S2}
Tr256 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Oxychloe_andina : S2}
Tr257 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Scirpus_polystachyus : S2}
Tr258 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Carex_monostachya : S2}
Tr259 = Tr{Luzula_purpureosplendens, Cyperus_involucratus, Distichia_acicularis : S1}
Tr260 = Tr{Luzula_purpureosplendens, Cyperus_papyrus, Distichia_acicularis : S1}
Tr261 = Tr{Luzula_purpureosplendens, Isolepis_nodosa, Distichia_acicularis : S1}
Tr262 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Becquerelia_cymosa : S2}
Tr263 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Hypolytrum_nemorum : S2}
Tr264 = Tr{Luzula_purpureosplendens, Distichia_acicularis, Prionium_serratum : S2}
Tr265 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Juncus_trifidus : S2}
Tr266 = Tr{Luzula_purpureosplendens, Juncus_effusus, Rostkovia_magellanica : S1}
Tr267 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Juncus_vaginatus : S2}
Tr268 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Oxychloe_andina : S2}
Tr269 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Scirpus_polystachyus : S2}
Tr270 = Tr{Luzula_purpureosplendens, Carex_monostachya, Rostkovia_magellanica : S1}
Tr271 = Tr{Luzula_purpureosplendens, Cyperus_involucratus, Rostkovia_magellanica : S1}
Tr272 = Tr{Luzula_purpureosplendens, Cyperus_papyrus, Rostkovia_magellanica : S1}
Tr273 = Tr{Luzula_purpureosplendens, Isolepis_nodosa, Rostkovia_magellanica : S1}
Tr274 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Rhynchospora_nervosa : S2}
Tr275 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Becquerelia_cymosa : S2}
Tr276 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Coleochloa_abyssinica : S2}
Tr277 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Hypolytrum_nemorum : S2}
Tr278 = Tr{Luzula_purpureosplendens, Rostkovia_magellanica, Prionium_serratum : S2}
Tr279 = Tr{Luzula_purpureosplendens, Juncus_trifidus, Marsippospermum_grandiflorum : S1}
Tr280 = Tr{Luzula_purpureosplendens, Juncus_effusus, Marsippospermum_grandiflorum : S1}
Tr281 = Tr{Luzula_purpureosplendens, Juncus_vaginatus, Marsippospermum_grandiflorum : S1}
Tr282 = Tr{Luzula_purpureosplendens, Marsippospermum_grandiflorum, Oxychloe_andina : S2}
Tr283 = Tr{Luzula_purpureosplendens, Scirpus_polystachyus, Marsippospermum_grandiflorum : S1}
Tr284 = Tr{Luzula_purpureosplendens, Carex_monostachya, Marsippospermum_grandiflorum : S1}
Tr285 = Tr{Luzula_purpureosplendens, Cyperus_involucratus, Marsippospermum_grandiflorum : S1}
Tr286 = Tr{Luzula_purpureosplendens, Cyperus_papyrus, Marsippospermum_grandiflorum : S1}
Tr287 = Tr{Luzula_purpureosplendens, Isolepis_nodosa, Marsippospermum_grandiflorum : S1}
Tr288 = Tr{Luzula_purpureosplendens, Rhynchospora_nervosa, Marsippospermum_grandiflorum : S1}
Tr289 = Tr{Luzula_purpureosplendens, Marsippospermum_grandiflorum, Becquerelia_cymosa : S2}
Tr290 = Tr{Luzula_purpureosplendens, Coleochloa_abyssinica, Marsippospermum_grandiflorum : S1}
Tr291 = Tr{Luzula_purpureosplendens, Marsippospermum_grandiflorum, Hypolytrum_nemorum : S2}
